Orden;Horas;Importe
OS-10;9.7;5334901
OS-12;7.8;5231100
OS-1;11;4730676
OS-247;6.8;4471643
OS-578;9.1;4203451
OS-326;14.27;4183988
OS-17;7;4146371
OS-26;6;4049190
OS-346;14;3949902
OS-39;20;3505927
OS-653;16;3387635
OS-335;37.24;3315241
OS-608;17.5;3204515
OS-700;11.75;3184351
OS-463;10;3144385
OS-35;24;3105984
OS-5;26.8;2796500
OS-285;5.98;2678265
OS-233;10;2635926
OS-565;8;2615516
OS-33;12.8;2502625
OS-31;10.6;2463712
OS-558;7;2365632
OS-8;11.74;2332192
OS-928;10;2324244
OS-582;6.38;2171199
OS-167;15;2084700
OS-863;16.14;2026868
OS-835;0.5;2021305
OS-143;8;2018071
OS-378;18.23;1908971
OS-15;3.42;1905091
OS-894;4;1900278
OS-972;4.59;1880995
OS-333;2.24;1880946
OS-297;6;1841718
OS-37;7.81;1800354
OS-459;5.4;1769304
OS-426;9;1737747
OS-746;7;1713207
OS-215;11;1702976
OS-125;10;1650072
OS-249;10;1638606
OS-152;6.9;1596173
OS-244;9;1594684
OS-668;8;1584702
OS-87;8;1584262
OS-24;12;1538721
OS-840;14;1509498
OS-106;8;1485465
OS-982;7.8;1476867
OS-591;12;1456414
OS-938;9;1446936
OS-162;11;1436912
OS-187;10.08;1430624
OS-393;7;1424777
OS-349;5;1414401
OS-46;13;1399213
OS-229;7;1396974
OS-524;14;1392813
OS-836;8;1388430
OS-577;13;1374067
OS-508;9.5;1370211
OS-171;9.5;1360314
OS-452;15;1351850
OS-583;3.3;1344644
OS-308;11;1340741
OS-642;6.4;1339997
OS-457;20;1309000
OS-919;8;1299873
OS-490;4;1264479
OS-674;9.2;1248786
OS-911;6.4;1238689
OS-34;14;1210898
OS-283;2.57;1165831
OS-246;6;1138780
OS-804;11;1108697
OS-806;4.5;1070989
OS-731;4.95;1047701
OS-140;6.02;1038768
OS-64;6.9;1023896
OS-45;15;1017450
OS-651;7.4;1012954
OS-471;12;999125
OS-626;1.5;961071
OS-16;5;950000
OS-251;4.8;945768
OS-388;3;942674
OS-495;0.5;915064
OS-1014;5;906404
OS-256;11;904747
OS-111;3;895377
OS-967;5;889339
OS-461;5.2;877958
OS-248;11;877714
OS-182;2;862116
OS-717;2;856300
OS-207;9.4;845227
OS-977;10.12;830109
OS-839;4.39;828745
OS-518;4;810445
OS-683;10.25;802735
OS-679;5;798153
OS-239;9.11;789137
OS-732;2.07;775466
OS-745;2.6;761467
OS-11;5;752899
OS-258;1.83;751409
OS-523;2.5;738935
OS-385;6;738766
OS-7;2;730280
OS-763;4.74;712609
OS-21;4;711606
OS-475;2;696334
OS-280;3;674843
OS-93;0.8;666562
OS-502;4.76;660588
OS-178;1;656394
OS-747;3.58;655546
OS-754;3.7;655546
OS-868;3.58;655546
OS-158;10;654500
OS-649;3.15;639989
OS-879;2.59;639989
OS-420;1.51;637531
OS-466;1;635755
OS-186;4.84;632931
OS-1019;1.92;629769
OS-353;2.8;616977
OS-281;2.5;614502
OS-204;1;609134
OS-347;1.14;595969
OS-696;10;595000
OS-325;3.8;594407
OS-796;1.4;585336
OS-551;2;580445
OS-684;4;574475
